lemma,freq
sucker,5675
muddy,5663
sewer,5652
coward,5641
bracket,5629
serum,5615
working,5599
ambiguous,5586
prevailing,5573
underneath,5562
pest,5548
demographics,5531
outraged,5520
dive,5507
yogurt,5495
split,5482
ethanol,5469
trans,5459
shower,5443
theologian,5433
perpetrator,5423
pull,5412
interviewer,5404
structure,5387
bowling,5379
bureaucrat,5367
almond,5354
floating,5343
pact,5334
flyer,5326
premier,5314
spike,5305
beetle,5292
convicted,5279
brink,5266
scottish,5251
swim,5240
initial,5229
bakery,5216
prolonged,5207
erode,5197
liable,5190
fry,5178
strait,5169
detainee,5153
cram,5137
redefine,5124
brochure,5113
dependency,5102
shorten,5096
paralyze,5090
acting,5078
binding,5065
irrigation,5052
cruelty,5045
sideways,5034
informative,5020
grenade,5010
refined,5001
ritual,4988
hostess,4982
glowing,4972
furnish,4962
causal,4955
needless,4942
casting,4933
reel,4919
wig,4914
pe,4901
buzz,4887
focal,4880
unhealthy,4874
buffer,4863
mold,4856
answering,4849
cough,4840
statutory,4831
anecdote,4824
specially,4816
shrub,4808
zoom,4801
reconstruct,4785
questioning,4771
cheerful,4762
temp,4752
solicit,4746
agony,4736
intended,4728
prosperous,4720
splash,4708
unsuccessful,4701
lineage,4691
crow,4678
cache,4665
curb,4660
decree,4655
succumb,4645
accessibility,4640
marsh,4637
born,4628
suicidal,4621
unify,4611
fingernail,4606
visualize,4600
nonexistent,4596
novice,4588
fallout,4578
outweigh,4571
tweak,4560
veggie,4551
loft,4543
downward,4537
broccoli,4530
lighter,4522
retaliation,4515
lag,4509
checkpoint,4503
suffice,4493
console,4478
protestant,4472
creed,4461
inflammatory,4454
farewell,4447
sexist,4438
humidity,4432
boiling,4417
present,4407
spill,4394
chrome,4386
linkage,4382
blizzard,4368
pinpoint,4357
fashionable,4350
paperback,4341
brighten,4332
relic,4321
ornament,4309
facet,4301
nervously,4292
graceful,4286
listening,4278
collective,4270
mantra,4263
exceptionally,4256
strangle,4249
his/her,4243
grouping,4236
envy,4224
headlight,4218
methodist,4212
tutor,4208
germ,4204
wonderfully,4199
chalk,4187
geological,4175
fulfillment,4164
yeast,4157
mailbox,4151
protector,4141
slam,4135
apocalypse,4131
shelter,4122
inflate,4114
bosnian,4108
mingle,4099
sexism,4090
plumbing,4084
dent,4078
reread,4069
bulldog,4065
versatile,4054
statistic,4049
relay,4039
preheat,4032
consulate,4018
gypsy,4006
concur,4001
avoidance,3991
tortilla,3980
proficiency,3967
mediocre,3956
hierarchical,3952
tutorial,3945
austerity,3934
experimentation,3925
game,3920
deacon,3916
longing,3906
profile,3896
resilience,3890
stern,3884
gladly,3877
cleanse,3871
logistics,3864
catholicism,3859
evade,3849
enrichment,3843
salty,3834
seep,3824
unauthorized,3817
guided,3813
darken,3804
alternate,3797
vegetarian,3790
rebel,3786
immortal,3781
martini,3774
scientifically,3770
trickle,3764
aroma,3752
one-year,3745
lily,3740
generating,3735
